ID варианта товара,Артикул,Название товара,Цена продажи,Остаток
235409852,Кофе в зернах Saquella Espresso Major 1 кг,136267480,1900.0,1900.0
235410000,Кофе в зернах Saquella Espresso Oro 1 кг,136267531,1640.0,1640.0
235410498,Кофе растворимый Lavazza Prontissimo Classico с молотым кофе 95 г,136267928,290.0,290.0
236122654,Кофе молотый Carraro 1927,136383584,430.0,430.0
236124221,Кофе в зернах Carraro 1927 в жестяной банке,136383737,450.0,450.0
236127168,Кофе молотый Carraro Ethiopia,136383835,349.0,349.0
236129439,Кофе молотый Carraro India,136383937,400.0,400.0
236130944,Кофе молотый Carraro Kenya,136383999,349.0,349.0
236133447,Кофе молотый Carraro Costa Rica,136384269,349.0,349.0
236134307,Кофе молотый Carraro Guatemala,136384315,390.0,390.0
236135681,Кофе молотый Carraro Brasile,136384417,349.0,349.0
236136835,Кофе молотый Carraro Colombia,136384443,380.0,380.0
237405506,Чай Калмыцкий оригинальный со специями и перцем 30 пак,ВОQ136590234,290.0,290.0
237407634,Чай Калмыцкий Хальмг Цэ 30 пак,ВОQ136590414,290.0,290.0
237408896,Чай травяной Домашний погребок Иван-чай гранулированный 75 г,136590503,144.0,144.0
237411791,Чай травяной Домашний погребок Иван-чай c чабрецом гранулированный 75 г,136590773,144.0,144.0
237413128,Чай травяной Домашний погребок Иван-чай Вечерний в пакетиках,136591087,115.0,115.0
237415384,Чай травяной Домашний погребок Иван-чай Классический в пакетиках,136591308,115.0,115.0
237416179,Чай травяной Домашний погребок Иван-чай Таежный,136591367,163.0,163.0
237421232,Чай черный Zylanica Ceylon Premium FBOP листовой 100 г,136591765,149.0,149.0
237424161,Чай черный Zylanica Ceylon Premium FBOP листовой 200 г,136592023,277.0,277.0
237425396,Чай черный Zylanica Ceylon Premium в пакетиках  25 шт,136592135,114.0,114.0
238064164,Кофе в зернах Lavazza Caffe Espresso 250 г,136732462,255.0,255.0
238064538,Кофе в зернах Lavazza Super Crema 1 кг,136732779,1100.0,1100.0
240817519,Кофе молотый Lavazza Caffe Decaffeinato 250 г вакуумная упаковка,137846771,350.0,350.0
240818317,"Кофе растворимый Jacobs Monarch, пакет 500 г",ВОQ137847295,679.0,679.0
242100908,"Кофе растворимый Nescafe Gold, пакет, 750 г",ВОQ138526204,700.0,700.0
242828569,Кофе в зернах ILLY Эфиопия - СКИДКА!!!,138985672,550.0,550.0
242962839,Кофе молотый Lavazza Crema e Gusto жестяная банка,139049762,213.0,213.0
242963356,Кофе молотый Lavazza Qualita Rossa 250 г вакуумная упаковка,139049929,226.0,226.0
243060911,"Кофе растворимый Nescafe Classic гранулированный, пакет 500 г",139111414,360.0,360.0
243069292,"Кофе Nescafe Classic растворимый с добавлением молотой арабики, пакет 900 г",ВОQ139118309,640.0,640.0
243069729,"Кофе растворимый Nescafe Classic гранулированный, пакет 250 г",139118487,205.0,205.0
243071536,Кофе молотый Illy Caffe Filtro темной обжарки 250 г,139119881,650.0,650.0
243338584,Кофе в зернах Serrano Selecto 1000 гр,139299908,1475.0,1475.0
243497241,Кофе молотый Paulig Mokka для заваривания в чашке 250 г,139425578,135.0,135.0
